Categoria_Griglia,Nome_Griglia,Compito_Due,Compito_Tre,Cache_Usata,Sorted_Frontiera,Media_Cache_Hit,Media_Celle_Frontiera,Media_Iterazioni_Condizione,Tempo,Spazio_KB,Massima_Profondita,Esecuzioni_Corrette,Timeout,Destinazione_Irraggiungibile
LineaSpezzata,Griglia Media,V0,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,171,0,2ms 272110ns,28.13,18,true,false,false
LineaSpezzata,Griglia Media,V0,PERFORMANCE,true,true,17,66,2,1ms 218520ns,23.44,15,true,false,false
LineaSpezzata,Griglia Piccola,V0,DEFAULT,false,false,0,93,0,4ms 573140ns,7.03,9,true,false,false
LineaSpezzata,Griglia Piccola,V0,PERFORMANCE_CACHE,true,false,3,43,0,0ms 875130ns,6.25,8,true,false,false
LineaSpezzata,Griglia Piccola,V0,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,39,12,0ms 350180ns,6.25,8,true,false,false
LineaSpezzata,Griglia Piccola,V0,PERFORMANCE_FULL,true,true,2,22,2,0ms 482830ns,5.47,7,true,false,false
LineaSpezzata,Griglia Piccola,V0,PERFORMANCE_NO_CACHE,false,true,0,30,3,0ms 469780ns,6.25,8,true,false,false
LineaSpezzata,Griglia Piccola,V0,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,3,43,0,1ms 30230ns,6.25,8,true,false,false
LineaSpezzata,Griglia Piccola,V0,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,3,25,4,0ms 416960ns,5.47,7,true,false,false
LineaSpezzata,Griglia Piccola,V0,PERFORMANCE_SORTED_FRONTIERA,false,true,0,93,0,1ms 165790ns,7.03,9,true,false,false
LineaSpezzata,Griglia Piccola,V0,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,67,0,0ms 783710ns,7.03,9,true,false,false
LineaSpezzata,Griglia Piccola,V0,PERFORMANCE,true,true,2,22,2,0ms 509080ns,5.47,7,true,false,false
LineaSpezzata,Griglia Grande,V1,DEFAULT,false,false,0,1048573,0,13s 625ms 551000ns,118.75,38,true,false,false
LineaSpezzata,Griglia Grande,V1,PERFORMANCE_CACHE,true,false,34,125,0,12ms 330930ns,93.75,30,true,false,false
LineaSpezzata,Griglia Grande,V1,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,961192,174762,12s 580ms 777250ns,118.75,38,true,false,false
LineaSpezzata,Griglia Grande,V1,PERFORMANCE_FULL,true,true,34,124,1,7ms 706230ns,93.75,30,true,false,false
